dis and n are bytes. Each entry is ns/call over 20 timed samples after 3 warmup samples. Speedup uses min naive / min cyccpy.
Each timed sample runs many calls over independent buffers; buffer reset and checksums are outside the timed region.

   dis         n |                            naive ns/call, GB/s |                           cyccpy ns/call, GB/s |  speedup
                 |          min         avg         max      GB/s |          min         avg         max      GB/s |      min
-----------------+------------------------------------------------+------------------------------------------------+---------
     5     10000 |      5482.11     5496.78     5539.62      1.82 |       662.48      825.69     1072.87     15.09 |    8.275
    10     10000 |      3943.21     3978.18     3996.28      2.54 |       596.35      613.62      655.64     16.77 |    6.612
    20     10000 |      3213.48     3249.51     3282.83      3.11 |       565.12      583.69      621.83     17.70 |    5.686
    32     10000 |       784.54      791.58      821.04     12.75 |       480.82      519.49      718.38     20.80 |    1.632
    33     10000 |      2832.79     2844.09     2880.99      3.53 |       557.21      592.56      692.52     17.95 |    5.084
    36     10000 |      2935.19     2946.55     2960.81      3.41 |       539.67      570.93      728.12     18.53 |    5.439
    50     10000 |      2918.75     2928.67     2939.06      3.43 |       560.31      579.38      624.52     17.85 |    5.209
   100     10000 |      1037.38     1047.40     1063.15      9.64 |       530.49      559.99      611.76     18.85 |    1.956
   200     10000 |       685.29      758.41      906.09     14.59 |       541.08      576.58      640.12     18.48 |    1.267
   300     10000 |       609.11      678.67      759.54     16.42 |       545.34      576.45      665.19     18.34 |    1.117
   400     10000 |       575.63      682.84      771.71     17.37 |       560.54      595.32      651.96     17.84 |    1.027
   500     10000 |       623.71      695.44      809.18     16.03 |       569.16      604.12      639.26     17.57 |    1.096
  2000     10000 |       648.09      707.59      791.83     15.43 |       614.97      794.10     1366.65     16.26 |    1.054
     5   1048576 |    575524.12   576281.06   578794.69      1.82 |     58053.19    59699.05    64037.00     18.06 |    9.914
    10   1048576 |    414691.56   418287.43   420741.19      2.53 |     58078.88    60095.27    64214.88     18.05 |    7.140
    20   1048576 |    322202.25   327825.35   341262.62      3.25 |     49734.25    57666.30    84992.12     21.08 |    6.478
    32   1048576 |    108813.94   110491.12   112132.19      9.64 |     50934.50    52686.39    57571.56     20.59 |    2.136
    33   1048576 |    307974.62   308974.27   310747.12      3.40 |     49970.69    52642.18    59449.00     20.98 |    6.163
    36   1048576 |    308118.62   309154.35   311438.19      3.40 |     50470.00    53162.29    61050.31     20.78 |    6.105
    50   1048576 |    307121.75   307829.65   309937.81      3.41 |     49571.38    50545.00    52713.75     21.15 |    6.196
   100   1048576 |    109680.06   110650.17   112577.06      9.56 |     49862.44    53586.91    76381.75     21.03 |    2.200
   200   1048576 |     71756.50    84709.19   101842.06     14.61 |     50481.38    52939.04    58419.06     20.77 |    1.421
   300   1048576 |     62122.38    68853.93    81406.75     16.88 |     50089.56    57355.30   101452.44     20.93 |    1.240
   400   1048576 |     58334.31    62528.81    70069.69     17.98 |     50601.81    53339.86    64796.94     20.72 |    1.153
   500   1048576 |     60986.19    69133.09    78225.19     17.19 |     50915.56    53334.89    57918.62     20.59 |    1.198
  2000   1048576 |     57986.56    67429.83    83714.88     18.08 |     53912.50    62669.29    79970.44     19.45 |    1.076
     5   8388608 |   4601565.50  4610284.67  4642834.00      1.82 |    461073.50   475374.33   488983.50     18.19 |    9.980
    10   8388608 |   3313038.50  3326771.20  3375016.50      2.53 |    458020.00   474701.95   500561.50     18.31 |    7.233
    20   8388608 |   2567297.50  2611158.90  2752588.50      3.27 |    462425.00   478486.45   520041.00     18.14 |    5.552
    32   8388608 |    809172.50   816704.65   840160.50     10.37 |    399129.50   419912.45   460164.00     21.02 |    2.027
    33   8388608 |   2462318.50  2469501.30  2482385.00      3.41 |    401757.50   418687.95   470724.00     20.88 |    6.129
    36   8388608 |   2463780.50  2471837.42  2488770.50      3.40 |    401920.50   433723.72   497251.00     20.87 |    6.130
    50   8388608 |   2456503.00  2466014.33  2487523.50      3.41 |    399562.50   425047.50   554405.50     20.99 |    6.148
   100   8388608 |    822143.50   837529.20   857412.50     10.20 |    402290.00   431611.83   567245.50     20.85 |    2.044
   200   8388608 |    528540.00   574423.45   640932.50     15.87 |    402198.00   417438.03   467791.50     20.86 |    1.314
   300   8388608 |    500610.00   563790.35   761930.00     16.76 |    402650.00   420490.78   444551.50     20.83 |    1.243
   400   8388608 |    491190.00   544158.88   601553.50     17.08 |    402586.00   424007.90   504340.50     20.84 |    1.220
   500   8388608 |    508987.50   544836.57   620885.50     16.48 |    404912.50   425688.72   525667.50     20.72 |    1.257
  2000   8388608 |    466751.50   526449.43   620613.00     17.97 |    460249.00   507304.78   566293.50     18.23 |    1.014
